taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Mammalia;Carnivora;Mustelidae	Mustelids	2.48
Animalia;Chordata;Aves;Ciconiiformes;Thinocoridae;Thinocorus;Thinocorus rumicivorus	Least Seedsnipe	2.48
Animalia;Chordata;Mammalia;Carnivora;Herpestidae	Civets	1.65
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Ophiodon;Ophiodon elongatus	Lingcod	1.65
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus	Wolf/Dog	4.96
Animalia;Chordata;NA;Testudines	Chordates	8.26
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae	Buck	4.13
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupaster	African Golden Wolf	1.65
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Hyperoplus;Hyperoplus immaculatus	Corbin's sand eel	4.96
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;Microtus thomasi	Thomas s Pine Vole	5.79
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus fulviflamma	Black-spot Sea Perch	2.48
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha	Chinook salmon	7.44
Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae	Shrew	4.13
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycenchelys;Lycenchelys sarsii	Sar's eelpout	0.83
Animalia;Chordata;Actinopteri;Blenniiformes;Gobiesocidae	Clingfishes	2.48
Animalia;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys xanthostigma	Longfin Sanddab	3.31
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Microstomus;Microstomus kitt	Lemon Sole	0.83
Animalia;Chordata;Aves;Columbiformes;Columbidae;Columba;Columba livia	Colom roquer	2.48
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis ornata	Saddled Blenny	3.31
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sauvagella;Sauvagella robusta	Hering	15.7
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Martes;Martes foina	Beech Marten	4.13
Animalia;Chordata;Aves;Charadriiformes;Alcidae	Auks	1.65
Animalia;Chordata;Aves;Charadriiformes;Laridae	Gulls	4.13
Animalia;Chordata;Aves;Sphenisciformes;Spheniscidae	Penguins	3.31
Animalia;Chordata;Aves;Charadriiformes;Laridae;Pinguinus;Pinguinus impennis	Great Auk	0.83
