File,Date,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,Tast_Status,Seal_Presence,Notes
May_24_2023_144714_1354,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1355,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1356,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Birds Present but no Seals
May_24_2023_144714_1358,5/31/2023,12:38:07 AM,12:40:54 AM,,,,,,,,,,,02:47,167.50,OFF,U,Object about the size of a baby seal floats around with the spnning current but makes no swimming movements so I don't think it is Time 00:38:06.8 - 00:40:54.3
May_24_2023_144714_1359,5/31/2023,12:43:28 AM,12:44:04 AM,12:46:55 AM,12:48:44 AM,,,,,,,,,02:25,145.40,OFF,U,I think that this one is a seal but it is quite small. 
May_24_2023_144714_1360,5/31/2023,12:51:43 AM,12:52:04 AM,12:58:08 AM,12:59:28 AM,,,,,,,,,01:39,99.40,OFF,U,First time is really weird with the shape ans size and movements looking like a seal for the most part and then it is not solid second one is really small
May_24_2023_144714_1361,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1362,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1363,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1364,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Predator is present but it is much too small to be confident that it is a seal
May_24_2023_144714_1365,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1366,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Predator of some kind but don’t think it is a seal
May_24_2023_144714_1367,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1369,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,Some predator but not a seal 
May_24_2023_144714_1370,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1371,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1372,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1373,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1374,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1375,5/31/2023,2:45:42 AM,2:46:09 AM,,,,,,,,,,,00:27,27.30,OFF,U,Faint but speed and turns make me think it is a seal swimming through on the edge of range
May_24_2023_144714_1376,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1377,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1378,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1379,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1382,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
May_24_2023_144714_1383,5/31/2023,,,,,,,,,,,,,00:00,0.00,OFF,N,No Seals present
