taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis,5,5
Plantae;Streptophyta;Magnoliopsida;Rosales;Moraceae;Ficus;Ficus craterostoma,2,2
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Capnobotryella;Capnobotryella renispora,5,11
Animalia;Arthropoda;Hexanauplia;Calanoida;Calanidae;Neocalanus;Neocalanus robustior,6,6
Animalia;Arthropoda;Thecostraca;Pollicipedomorpha;Pollicipedidae;Pollicipes;Pollicipes elegans,9,118
Bacteria;Pseudomonadota;Deltaproteobacteria;Bradymonadales;Lujinxingiaceae;Lujinxingia,3,3
Plantae;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Melicope,2,2
Fungi;Ascomycota;NA;NA;NA;Hymenella;[Hymenula] cerealis,1,1
Plantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Clerodendrum,1,1
Protozoa;Euglenozoa;Euglenida;Euglenales;Euglenaceae;Trachelomonas;Trachelomonas scabra,4,15
Animalia;Hemichordata;Pterobranchia;Rhabdopleurida;Rhabdopleuridae;Rhabdopleura;Rhabdopleura normani,1,1
Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spiophanes,1,1
Plantae;Streptophyta;Magnoliopsida;Aquifoliales;Aquifoliaceae;Ilex,1,1
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula;Novipirellula aureliae,2,2
