taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Chromista;NA;Bigyra;Labyrinthulida;NA;Stellarchytrium;Stellarchytrium dubum,2,2
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Cyclospora,1,1
Protozoa;Preaxostyla,4,4
Plantae;Ciliophora;Phyllopharyngea;Endogenida;Acinetidae;Acineta,12,232
Bacteria;Bacillota;Bacilli;Lactobacillales,1,1
Animalia;Arthropoda;Malacostraca;Decapoda;Atyidae,1,1
Protozoa;NA;NA;NA;Collodictyonidae;Diphylleia;Diphylleia rotans,1,1
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Delesseriaceae,6,6
Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora,1,1
Protozoa;Endomyxa;NA;Vampyrellida,1,1
Chromista;Cercozoa;NA;Glissomonadida;Viridiraptoridae;Bodomorpha;Bodomorpha minima,6,31
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Brachybasidiaceae,2,10
Protozoa;Endomyxa;Ascetosporea;Haplosporida;NA;Bonamia,5,5
Plantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Monotropa;Monotropa uniflora,4,4
Animalia;Arthropoda;Insecta;Coleoptera;Coccinellidae;Scymnus,1,1
Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;Tuber brumale,1,1
Animalia;Cnidaria;Scyphozoa;Semaeostomeae,1,1
Bacteria;Pseudomonadota;Oligoflexia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio,4,50
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales;Phaeodactylaceae;Phaeodactylum;Phaeodactylum tricornutum,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium;Sinorhizobium sp. 1085,1,1
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Symmachiella;Symmachiella dynata,2,2
Chromista;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae,7,7
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia,2,67
Chromista;NA;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis pacifica,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira sp. UNC1417,13,13
Chromista;Ciliophora;Oligohymenophorea;Thigmotrichida,21,21
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae;Leegaardiella;Leegaardiella sp.,3,4
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Vanrija;Vanrija nantouana,5,5
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos;Polykrikos sp. GD1590bp2,1,1
Bacteria;Pseudomonadota;Oligoflexia;Bdellovibrionales;Pseudobdellovibrionaceae,3,5
Chromista;Oomycota;NA;Lagenidiales;NA;Paralagenidium;Paralagenidium karlingii,4,202
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;NA;Volvocales sp. TN-2017-3,2,5
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales,6,19
Fungi;Ascomycota;Orbiliomycetes;Orbiliales,7,31
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia vitrea,2,2
Chromista;NA;Cryptophyceae;NA;NA;NA;Cryptophyta sp. CR-MAL03,1,1
Chromista;NA;Phaeophyceae;Ectocarpales,10,10
Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis,1,1
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae;Hyperoplus;Hyperoplus immaculatus,4,4
Chromista;NA;Polycystinea;Collodaria,1,1
Bacteria;Pseudomonadota;Epsilonproteobacteria;NA;NA;NA;unidentified epsilon proteobacterium,1,1
Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;NA;NA;Filobasidiales sp. LM390,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Urtica;Urtica domingensis,2,3
Fungi;Ascomycota;NA;NA;NA;Kendrickiella;Kendrickiella phycomyces,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Endozoicomonadaceae;Endozoicomonas;Endozoicomonas sp.,34,2032
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia calcicola,2,2
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp.,8,8
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Novistrombidium;Novistrombidium sinicum,6,69
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma,2,3
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Omphalotaceae;Gymnopus,1,1
Animalia;Annelida;Polychaeta;Eunicida,4,4
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae,13,13
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus,2,2
Chromista;NA;Xanthophyceae;Mischococcales;Botryochloridaceae;Chlorellidium;Chlorellidium tetrabotrys,2,2
Plantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea;Ipomoea cholulensis,1,1
Animalia;Annelida;Clitellata;Crassiclitellata;Aeolosomatidae;Rheomorpha;Rheomorpha neiswestonovae,4,387
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Phaffomyces;Phaffomyces antillensis,1,1
Fungi;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Marchandiomyces;Marchandiomyces nothofagicola,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,1,1
Chromista;NA;Dinophyceae;Blastodiniales;NA;Blastodinium;Blastodinium navicula,12,12
Plantae;Chlorophyta;Ulvophyceae;Ulotrichales;Sarcinofilaceae;Sarcinofilum;Sarcinofilum mucosum,1,1
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Irpicaceae;Cytidiella;Cytidiella melzeri,1,1
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Zoothamnium;Zoothamnium duplicatum,1,1
Chromista;NA;Polycystinea,6,6
Chromista;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas sp.,20,4139
Chromista;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Spathidium;Spathidium rectitoratum,1,1
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Laetiporaceae;Laetiporus;Laetiporus sulphureus,2,3
Animalia;Mollusca;Bivalvia,13,13
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum minimum,4,4
Chromista;NA;Xanthophyceae;Mischococcales;Centritractaceae;Bumilleriopsis;Bumilleriopsis filiformis,2,2
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis norvegica,13,13
Chromista;NA;Raphidophyceae;Chattonellales;Chattonellaceae,52,384
Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium gelatinosum,6,6
Bacteria;Pseudomonadota;Oligoflexia;Oligoflexales;Pseudobacteriovoracaceae;Pseudobacteriovorax;Pseudobacteriovorax antillogorgiicola,10,10
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Cyclotella;Cyclotella choctawhatcheeana,6,6
Animalia;Ctenophora;Tentaculata;Lobata;Bolinopsidae;Bolinopsis;Bolinopsis infundibulum,3,3
Fungi;Basidiomycota;Agaricomycetes;NA;NA;NA;Agaricomycetes sp.,1,1
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Chilodonellidae;Pseudochilodonopsis,13,81
Plantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex anisostachys,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae,25,456
Chromista;Cercozoa;NA;Glissomonadida;Allapsidae;Allantion;Allantion sp.,8,47
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae,2,2
Animalia;Cnidaria;Hydrozoa;Siphonophorae;Prayidae;Gilia;Gilia reticulata,4,6
Protozoa;Discosea;Flabellinia;NA;Vannellidae;Vannella;Vannella sp. KDN1,2,2
Plantae;Streptophyta;Magnoliopsida;Lamiales;Plantaginaceae,13,13
Chromista;NA;Dinophyceae;Peridiniales;Ostreopsidaceae,31,31
Chromista;Ciliophora;Spirotrichea;Euplotida,2,2
Fungi;Mucoromycota;Glomeromycetes;Diversisporales;Diversisporaceae;Diversispora;Diversispora sp. EE1,1,1
Animalia;Rotifera;Eurotatoria;Flosculariaceae;Testudinellidae;Pompholyx;Pompholyx sulcata,1,1
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Wrangeliaceae;Plumaria;Plumaria plumosa,1,1
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Uronema;Uronema sp. WS-2012,7,7
Fungi;Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Phellinus;Phellinus igniarius,1,1
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia pseudodelicatissima,1,1
Plantae;Streptophyta,112,6016
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Cohnilembidae;Porpostoma;Porpostoma notata,6,6
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Stentoridae;Stentor,60,8761
Chromista;NA;Dinophyceae;Peridiniales;Diplopsaliaceae;Niea;Niea torta,2,2
Plantae;Streptophyta;Klebsormidiophyceae;Klebsormidiales;Klebsormidiaceae;Klebsormidium,4,5
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Derxomyces;Derxomyces simaoensis,1,1
Plantae;Chlorophyta;Ulvophyceae;Ulvales,2,2
Animalia;Cnidaria;Anthozoa;Alcyonacea;Paragorgiidae;Paragorgia;Paragorgia arborea,2,2
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Anotrichium;Anotrichium furcellatum,1,1
Chromista;Bacillariophyta;Bacillariophyceae;NA;NA;NA;Bacillariophyceae sp. YS-2016a,2,2
Plantae;Streptophyta;Magnoliopsida;Asparagales;Orchidaceae,12,12
Plantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex,18,18
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Stentoridae,1,1
Bacteria;Pseudomonadota;Epsilonproteobacteria,3,3
Chromista;NA;Bigyra;Opalinata;Blastocystidae;Blastocystis;Blastocystis sp.,1,1
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella huuskonenii,1,1
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium leonis,9,9
Protozoa;Evosea;Eumycetozoa;Physariida;Didymiaceae;Didymium;Didymium iridis,1,1
Animalia;Platyhelminthes;Monogenea;Gyrodactylidea;Gyrodactylidae;Gyrodactyloides;Gyrodactyloides bychowskii,2,2
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Dominikia;Dominikia bernensis,26,86
Animalia;Cnidaria;Anthozoa;Scleractinia,22,22
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Astragalus;Astragalus mareoticus,1,1
Plantae;Streptophyta;Bryopsida,4,4
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum,5,5
Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;NA;Pleosporales sp.,3,3
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,2,2
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmotrema;Parmotrema stuppeum,2,9
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Neokeronopsis;Neokeronopsis aurea,1,1
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium multimicronucleatum,37,708
Plantae;Streptophyta;Magnoliopsida;Pandanales;Triuridaceae;Sciaphila;Sciaphila tenella,1,1
Chromista;NA;Bigyra;Bicosoecida;Cafeteriaceae;Cafeteria,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella,6,6
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Usnea,1,1
Chromista;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia,8,8
Fungi;Mucoromycota;Glomeromycetes;Diversisporales;Gigasporaceae;Dentiscutata;Dentiscutata sp.,1,1
Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex quinquefasciatus,1,1
Chromista;NA;Dinophyceae;Peridiniales;Diplopsaliaceae;Niea;Niea acanthocysta,3,3
Chromista;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae;Litonotus;Litonotus sp. SZ08112701,4,16
Chromista;NA;Dictyochophyceae;Dictyochales;NA;Dictyocha;Dictyocha fibula,5,5
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales,17,262
Chromista;Haptophyta;NA;Phaeocystales;Phaeocystaceae;Phaeocystis,6,6
Fungi;Ascomycota;Leotiomycetes;Helotiales;Pezizellaceae;Pezizella;Pezizella epithallina,2,2
Animalia;Rotifera;Eurotatoria;Ploima;Brachionidae;Brachionus;Brachionus angularis,11,186
Protozoa;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Petalomonas,18,18
Plantae;Streptophyta;Magnoliopsida;Fagales;Fagaceae,10,10
Plantae;Streptophyta;Magnoliopsida;Piperales;Piperaceae;Piper,1,1
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Diaxonella;Diaxonella trimarginata,2,29
Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Amphitrite,3,3
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Bionectriaceae;Geosmithia,2,7
Animalia;Arthropoda;Insecta;Orthoptera;Acrididae;Schistocerca,3,3
Plantae;Rhodophyta;Florideophyceae;Gigartinales;Dumontiaceae,3,3
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella squamata,4,4
Animalia;Platyhelminthes;Rhabditophora;Rhabdocoela,4,5
Bacteria;Pseudomonadota;Deltaproteobacteria;NA;NA;NA;sulfate-reducing bacterium mXyS1,2,2
Animalia;Mollusca;Bivalvia;Mytilida;Mytilidae;Bathymodiolus;Bathymodiolus azoricus,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema costatum,5,5
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma;Yamadazyma scolyti,7,15
Animalia;Mollusca;Gastropoda;Nudibranchia;Cuthonidae;Cuthona;Cuthona nana,1,1
Animalia;Bryozoa;Phylactolaemata;NA;Fredericellidae;Fredericella;Fredericella sultana,2,2
Chromista;NA;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae,2,2
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;NA;Paulschulzia;Paulschulzia pseudovolvox,4,27
Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter johnsonii,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum;Schizophyllum commune,2,2
Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida;Tetrahymenidae;Lambornella;Lambornella trichoglossa,6,23
Plantae;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex annectens,1,1
Animalia;Arthropoda;Insecta;Odonata,2,2
Fungi;Basidiomycota;Exobasidiomycetes;Microstromatales,3,3
Fungi;Ascomycota;Lecanoromycetes;Ostropales;Graphidaceae;Graphis;Graphis scripta,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma;[Candida] dendronema,2,2
Protozoa;Euglenozoa;NA;Diplonemea;NA;NA;Diplonemida sp. 9sb RG-2016,1,1
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Bulleribasidium;Bulleribasidium sanyaense,1,1
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Claroideoglomeraceae;Claroideoglomus;Claroideoglomus drummondii,1,1
Animalia;Platyhelminthes;Trematoda;Plagiorchiida,1,1
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Oncaeidae;Oncaea;Oncaea mediterranea,2,2
Protozoa;Cercozoa;NA;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas plasmodialis,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae;Immundisolibacter;Immundisolibacter cernigliae,2,2
Plantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Pilea,4,4
Chromista;Ciliophora;Spirotrichea;Tintinnida;Xystonellidae,7,10
Chromista;Ciliophora;Litostomatea;Haptorida;Spathidiidae;Spathidium,1,1
Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Anemonia;Anemonia viridis,1,1
Animalia;Arthropoda;Insecta;Thysanoptera;Thripidae;Palmiothrips;Palmiothrips sp. TH65,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;Sphingobium sp.,6,41
Plantae;Streptophyta;Magnoliopsida;Malpighiales;Phyllanthaceae;Phyllanthus;Phyllanthus amarus,2,3
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;Loripes lacteus gill symbiont,9,9
Bacteria;Pseudomonadota;Gammaproteobacteria;Candidatus Comchoanobacterales;Candidatus Comchoanobacteraceae;Candidatus Comchoanobacter;Candidatus Comchoanobacter bicostacola,1,1
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix,1,1
Plantae;Streptophyta;Magnoliopsida;Cucurbitales;Cucurbitaceae;Cucurbita,6,48
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae,2,6
Animalia;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae;Hormiphora;Hormiphora sp.,22,679
Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Fryeellaceae;Fryeella;Fryeella gardneri,1,1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Curvularia;Curvularia verruculosa,2,9
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia mangium,1,1
Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Ochrolechiaceae;Ochrolechia;Ochrolechia parella,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Komagataella;Komagataella pastoris,9,26
Plantae;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Chroodactylon;Chroodactylon ornatum,1,1
Chromista;NA;Synurophyceae;Synurales;Mallomonadaceae;Synura;Synura kristiansenii,2,2
Chromista;NA;Pelagophyceae;Pelagomonadales;NA;Aureoumbra;Aureoumbra lagunensis,2,2
Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella,6,6
Bacteria;Bacillota,2,2
Fungi;Basidiomycota;Agaricomycetes;Amylocorticiales;Amylocorticiaceae;Plicaturopsis;Plicaturopsis crispa,2,2
Protozoa;Euglenozoa;NA;Diplonemea;NA;NA;Diplonemida sp. 13 RG-2016,1,1
Chromista;Oomycota;NA;Peronosporales;Peronosporaceae;Bremia;Bremia sonchicola,6,9
Fungi;Basidiomycota;Agaricomycetes;Auriculariales,2,61
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Smittinidae;Parasmittina,2,2
Plantae;Rhodophyta;Stylonematophyceae;Stylonematales;Stylonemataceae;Stylonema;Stylonema alsidii,1,1
Fungi;Basidiomycota;Agaricomycetes;Cantharellales;Hydnaceae;Hydnum,1,1
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Sarcocystis;Sarcocystis tarandi,1,1
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas;Sulfurimonas xiamenensis,4,4
Plantae;Streptophyta;Magnoliopsida;Rosales;Moraceae;Ficus,2,2
Animalia;Arthropoda;Hexanauplia;Calanoida;Calanidae;Calanus,9,9
Fungi;Basidiomycota;Agaricomycetes;Russulales;Hericiaceae;Hericium;Hericium abietis,1,1
Chromista;Cercozoa;Thecofilosea;Phaeoconchia;Coelodendridae;Coelodendrum;Coelodendrum ramosissimum,12,12
Animalia;Nematoda;Chromadorea;Monhysterida,1,1
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas;Chlamydomonas sp. MBIC10468,1,1
Animalia;Mollusca;Bivalvia;Arcoida;Glycymerididae;Glycymeris;Glycymeris sp.,1,1
Plantae;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Galdieria;Galdieria sulphuraria,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Hymenopellis,2,153
Chromista;NA;Cryptophyceae;Pyrenomonadales;Pyrenomonadaceae;Rhodomonas;Rhodomonas sp.,1,1
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae,4,17
Chromista;Ciliophora;Spirotrichea;NA;Tontoniidae;Pseudotontonia;Pseudotontonia simplicidens,8,8
Animalia;Echinodermata;Echinoidea;Cassiduloida;Echinolampadidae;Conolampas;Conolampas sigsbei,1,1
Chromista;NA;Phaeophyceae;Ectocarpales;Chordariaceae;Cladochroa;Cladochroa chnoosporiformis,6,6
Plantae;Streptophyta;Magnoliopsida;Santalales;Erythropalaceae;Erythropalum;Erythropalum scandens,1,1
Chromista;NA;Dinophyceae;Syndiniales;Duboscquellidae;Duboscquella;Duboscquella sp. Hamana/2003,9,9
Chromista;NA;Centroplasthelida,15,15
Plantae;Rhodophyta;Florideophyceae;Rhodymeniales;Faucheaceae;Gloiocladia;Gloiocladia repens,2,2
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum;Methylorubrum sp. GM97,27,6949
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;Alphaproteobacteria bacterium,1,1
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Zoothamniidae;Myoschiston,2,28
Animalia;Nemertea;Pilidiophora;Heteronemertea;Lineidae,4,4
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Paruroleptus;Paruroleptus lepisma,8,8
Animalia;Mollusca;Bivalvia;Nuculida;Nuculidae;Nucula,2,2
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Ornithocercus;Ornithocercus magnificus,11,11
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae,1,1
Protozoa;Parabasalia,1,1
Plantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae,2,2
Chromista;Ciliophora;Litostomatea;Haptorida;Enchelyidae;Enchelys;Enchelys polynucleata,6,15
Animalia;Chordata;Ascidiacea;Aplousobranchia;Polyclinidae;Aplidium;Aplidium pliciferum,1,1
Plantae;Chlorophyta;Trebouxiophyceae;Trebouxiales;Trebouxiaceae;Trebouxia;Trebouxia arboricola,3,3
Chromista;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae;Tintinnidium;Tintinnidium mucicola,8,8
Animalia;Annelida;Polychaeta;Sabellida;Oweniidae;Owenia,1,1
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;Kockovaella;Kockovaella thailandica,5,5
Plantae;Rhodophyta;Florideophyceae;Peyssonneliales;Peyssonneliaceae;Peyssonnelia;Peyssonnelia sp.,1,1
Plantae;Streptophyta;Jungermanniopsida;Porellales;Lejeuneaceae,2,2
Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae,5,5
Plantae;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae,3,19
Fungi;Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae,1,1
Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Chione;Chione elevata,1,1
Animalia;Arthropoda;Arachnida;Araneae;Pholcidae;Metagonia,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;Sphingorhabdus sp.,1,1
Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Diamesa;Diamesa japonica,1,1
Protozoa;Discosea;Flabellinia;NA;Vannellidae;Platyamoeba,6,485
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Amylax;Amylax triacantha,2,2
Animalia;Rotifera;Eurotatoria;Flosculariaceae;Flosculariidae;Ptygura;Ptygura mucicola,1,1
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Leptosphaeriaceae;Plenodomus,1,1
Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia globosa,41,287
Fungi;Basidiomycota;Agaricomycetes;Russulales;Auriscalpiaceae;Auriscalpium;Auriscalpium vulgare,2,2
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp. clade F,2,2
Plantae;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;NA;Anacardiaceae sp. MP 538,1,1
Animalia;Annelida;Polychaeta;NA;Protodrilidae;Protodrilus,1,1
Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae;Laminacauda,1,1
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Macrocyclops;Macrocyclops distinctus,1,1
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Xanthoria;Xanthoria parietina,2,169
Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus sp.,2,184
Fungi;Basidiomycota;Agaricomycetes;Boletales;Truncocolumellaceae;Truncocolumella;Truncocolumella citrina,1,1
Plantae;Streptophyta;Magnoliopsida;Gentianales,2,2
Chromista;Cercozoa;Imbricatea;Euglyphida;Trinematidae;Trinema;Trinema lineare,4,1595
Animalia;Mollusca;Bivalvia;Adapedonta;Hiatellidae;Panopea;Panopea generosa,3,3
Protozoa;Endomyxa,5,5
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Chlamydodontidae;Chlamydodon;Chlamydodon obliquus,17,17
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Mucuna,1,1
Plantae;Streptophyta;Magnoliopsida;Lamiales;Scrophulariaceae;Eremophila,2,2
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae;Durusdinium;Durusdinium trenchii,2,2
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Sulfitobacter;Sulfitobacter sp. Gp-4-5.2.1-voll,3,3
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Novistrombidium,1,1
