taxonomic_path	common_name	% samples positive in project
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cuniculitremaceae;Kockovaella;Kockovaella thailandica	Jelly Fungi	13.01
Plantae;Chlorophyta;Chlorophyceae;Protosiphonales;Protosiphonaceae;Spongiosarcinopsis;Spongiosarcinopsis terrestris	""	0.81
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum gracile	Dinoflagellates	28.46
Chromista;Ciliophora;Heterotrichea;Heterotrichida	Ciliates	69.11
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Prorocentrum minimum	Dinoflagellates	18.7
Animalia;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona;Oithona similis	Cyclopoid Copepods	59.35
Plantae;Chlorophyta	""	63.41
Plantae;Streptophyta;Magnoliopsida;Boraginales;Boraginaceae;Antiphytum;Antiphytum hintoniorum	Saucerflower	13.01
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Polystyrenella;Polystyrenella longa	Bacteria	8.94
Chromista;NA;Dinophyceae;Peridiniales;Diplopsaliaceae;Gotoius;Gotoius excentricus	Dinoflagellates	14.63
Plantae;Chlorophyta;Ulvophyceae;Ulotrichales;Planophilaceae;Planophila;Planophila laetevirens	""	1.63
Chromista;Ciliophora;Spirotrichea;Urostylida	Ciliates	29.27
Animalia;Tardigrada	""	0.81
Animalia;Echinodermata	Echinoderms	6.5
Chromista;Ciliophora;Spirotrichea;Tintinnida;Tintinnidae	Tintinnids	12.2
Protozoa;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia	Protozoans	46.34
Chromista;NA;Phaeophyceae;Laminariales	Brown algae	66.67
Chromista;Ciliophora	Ciliates	97.56
Chromista;Endomyxa;Phytomyxea;Plasmodiophorida;Plasmodiophoridae;Woronina;Woronina pythii	""	4.88
Fungi;Basidiomycota;Cystobasidiomycetes	""	1.63
